model;scenario;region;variable;unit;2015;2020;2025;2030;2035;2040;2045;2050
ETM-UCL;Efficient_1p5;EU28;Final Energy;PJ/yr;50554.4;49992.16;46886.91;43371.65;37791;33935.75;31779.62;29722.54
ETM-UCL;Efficient_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;11.97
ETM-UCL;Efficient_1p5;UKI;Final Energy;PJ/yr;6568.47;6516.55;6031.15;5492.05;4747.66;4172.06;3929.91;3679.6
ETM-UCL;Efficient_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
ETM-UCL;Incumb_1p5;EU28;Final Energy;PJ/yr;50554.4;49992.16;50029.24;49602.19;44782.15;41988.98;40530.29;39412.08
ETM-UCL;Incumb_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;413.31
ETM-UCL;Incumb_1p5;UKI;Final Energy;PJ/yr;6568.47;6516.55;6431.83;6251.47;5796.31;5518.8;5483.54;5392.03
ETM-UCL;Incumb_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;26.53
ETM-UCL;NewPl_1p5;EU28;Final Energy;PJ/yr;50554.4;49992.16;47216.07;45337.95;41308.33;40239.52;40745.39;40994.19
ETM-UCL;NewPl_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;118.73;474.89;716.7;817.94
ETM-UCL;NewPl_1p5;UKI;Final Energy;PJ/yr;6568.47;6516.55;6082.61;5786.43;5279.26;5122.67;5310.5;5410.32
ETM-UCL;NewPl_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;21.98;30.92;49.23;83.13
PRIMES;Efficient_1p5;EU28;Final Energy;PJ/yr;52017.16;52225.67;49457.91;44633.17;39327.75;35056.2;31677.58;28162.34
PRIMES;Efficient_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
PRIMES;Efficient_1p5;UKI;Final Energy;PJ/yr;6659.89;6592.06;6112.03;5440.41;4835.22;4356.3;3906.15;3499.78
PRIMES;Efficient_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
PRIMES;Incumb_1p5;EU28;Final Energy;PJ/yr;52017.16;52184.73;49422.34;45016.01;41766.27;39186.2;37443.12;36027.02
PRIMES;Incumb_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
PRIMES;Incumb_1p5;UKI;Final Energy;PJ/yr;6659.89;6584.04;6096.32;5488.61;5082.99;4761.68;4567.3;4444.64
PRIMES;Incumb_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
PRIMES;NewPl_1p5;EU28;Final Energy;PJ/yr;52017.13;52176.71;49409.12;44526.24;40989.51;38485.19;36033.55;34287.7
PRIMES;NewPl_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
PRIMES;NewPl_1p5;UKI;Final Energy;PJ/yr;6659.89;6581.82;6102.42;5436.88;4977.96;4671.49;4340.15;4246.85
PRIMES;NewPl_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0;0;0;0;0;0;0;0
REMIND 2.0;Efficient_1p5;EU28;Final Energy;PJ/yr;51785.94;51057.79;48130.03;43160.1;37036.51;31262.38;28451.02;27212.72
REMIND 2.0;Efficient_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;9.19;24.66;101.4;468.91;1137.13;1782.91;2213.66;2395.11
REMIND 2.0;Efficient_1p5;UKI;Final Energy;PJ/yr;6498.06;6568.53;6335.84;5622.77;4878.1;4151.76;3771.54;3689.39
REMIND 2.0;Efficient_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;1.3;4.91;24.31;98.81;187.21;225.76;241.5;243.9
REMIND 2.0;Incumb_1p5;EU28;Final Energy;PJ/yr;51202.87;50809.37;48752.16;45778.65;41407.58;37782.72;36924.23;36934.33
REMIND 2.0;Incumb_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;8.47;24.93;119.62;577.36;2212.83;4717.45;6975.57;8326.74
REMIND 2.0;Incumb_1p5;UKI;Final Energy;PJ/yr;6504.8;6624.73;6540.36;6140.01;5860.94;5871.48;6091.09;6029.82
REMIND 2.0;Incumb_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;1.25;5.29;18.35;82.4;325.34;705.54;987.12;1137.8
REMIND 2.0;NewPl_1p5;EU28;Final Energy;PJ/yr;51833.52;50853.51;48182.48;44257.9;40081.8;36421;35573.36;35837.23
REMIND 2.0;NewPl_1p5;EU28;Secondary Energy|Hydrogen|Electricity;PJ/yr;6.38;19.29;106.73;518.73;1344.01;2574.87;3944.51;4709.71
REMIND 2.0;NewPl_1p5;UKI;Final Energy;PJ/yr;6512.9;6582.64;6333.72;5802.87;5469.81;5202.41;5114.48;5361.21
REMIND 2.0;NewPl_1p5;UKI;Secondary Energy|Hydrogen|Electricity;PJ/yr;0.83;3.85;21.22;88.29;202.95;371.22;584.44;742.57
