model,scenario,region,variable,unit,2015,2020,2025,2030,2035,2040,2045,2050
ETM-UCL,Efficient_1p5,EU28,Final Energy,PJ/yr,50554.4,49992.16,46886.91,43371.65,37791,33935.75,31779.62,29722.54
ETM-UCL,Efficient_1p5,UKI,Final Energy,PJ/yr,6568.47,6516.55,6031.15,5492.05,4747.66,4172.06,3929.91,3679.6
ETM-UCL,Incumb_1p5,EU28,Final Energy,PJ/yr,50554.4,49992.16,50029.24,49602.19,44782.15,41988.98,40530.29,39412.08
ETM-UCL,Incumb_1p5,UKI,Final Energy,PJ/yr,6568.47,6516.55,6431.83,6251.47,5796.31,5518.8,5483.54,5392.03
ETM-UCL,NewPl_1p5,EU28,Final Energy,PJ/yr,50554.4,49992.16,47216.07,45337.95,41308.33,40239.52,40745.39,40994.19
ETM-UCL,NewPl_1p5,UKI,Final Energy,PJ/yr,6568.47,6516.55,6082.61,5786.43,5279.26,5122.67,5310.5,5410.32
PRIMES,Efficient_1p5,EU28,Final Energy,PJ/yr,52017.16,52225.67,49457.91,44633.17,39327.75,35056.2,31677.58,28162.34
PRIMES,Efficient_1p5,UKI,Final Energy,PJ/yr,6659.89,6592.06,6112.03,5440.41,4835.22,4356.3,3906.15,3499.78
PRIMES,Incumb_1p5,EU28,Final Energy,PJ/yr,52017.16,52184.73,49422.34,45016.01,41766.27,39186.2,37443.12,36027.02
PRIMES,Incumb_1p5,UKI,Final Energy,PJ/yr,6659.89,6584.04,6096.32,5488.61,5082.99,4761.68,4567.3,4444.64
PRIMES,NewPl_1p5,EU28,Final Energy,PJ/yr,52017.13,52176.71,49409.12,44526.24,40989.51,38485.19,36033.55,34287.7
PRIMES,NewPl_1p5,UKI,Final Energy,PJ/yr,6659.89,6581.82,6102.42,5436.88,4977.96,4671.49,4340.15,4246.85
REMIND 2.0,Efficient_1p5,EU28,Final Energy,PJ/yr,51785.94,51057.79,48130.03,43160.1,37036.51,31262.38,28451.02,27212.72
REMIND 2.0,Efficient_1p5,UKI,Final Energy,PJ/yr,6498.06,6568.53,6335.84,5622.77,4878.1,4151.76,3771.54,3689.39
REMIND 2.0,Incumb_1p5,EU28,Final Energy,PJ/yr,51202.87,50809.37,48752.16,45778.65,41407.58,37782.72,36924.23,36934.33
REMIND 2.0,Incumb_1p5,UKI,Final Energy,PJ/yr,6504.8,6624.73,6540.36,6140.01,5860.94,5871.48,6091.09,6029.82
REMIND 2.0,NewPl_1p5,EU28,Final Energy,PJ/yr,51833.52,50853.51,48182.48,44257.9,40081.8,36421,35573.36,35837.23
REMIND 2.0,NewPl_1p5,UKI,Final Energy,PJ/yr,6512.9,6582.64,6333.72,5802.87,5469.81,5202.41,5114.48,5361.21
